t,r_x,r_y,r_z
1.9e-10,1.7678026490685675e-10,-2.8753842778684542e-12,0.0
1.9099999999999999e-10,1.7740471659162117e-10,-4.2368639099455516e-12,0.0
1.92e-10,1.782731703173644e-10,-5.643049561548255e-12,0.0
1.93e-10,1.7938968420394106e-10,-7.050560203314913e-12,0.0
1.94e-10,1.8075066368117553e-10,-8.415973947523923e-12,0.0
1.95e-10,1.8234497238495441e-10,-9.697167619019417e-12,0.0
1.96e-10,1.8415427571860178e-10,-1.0854616260136214e-11,0.0
1.97e-10,1.8615360648052884e-10,-1.1852612479743748e-11,0.0
1.98e-10,1.8831213510837996e-10,-1.2660368029364483e-11,0.0
1.9899999999999998e-10,1.905941207774591e-10,-1.3252963622647844e-11,0.0
