t,v_x,v_y,v_z
6.9e-11,0.5098150638702836,1.326522609501115,0.0
7e-11,0.2852833916138472,1.2202962165263727,0.0
7.1e-11,0.08280091201922629,1.0764235693371829,0.0
7.2e-11,-0.09138577299196765,0.8993431733071662,0.0
7.299999999999999e-11,-0.23190299301494355,0.6945179953829503,0.0
7.4e-11,-0.3344157872383795,0.46826693042076817,0.0
7.5e-11,-0.39576163812654597,0.22756986210421945,0.0
7.6e-11,-0.41404803501845694,-0.020147667649838635,0.0
7.699999999999999e-11,-0.388710857809077,-0.2672435378119655,0.0
7.8e-11,-0.3205317795844313,-0.5060948087609458,0.0
7.9e-11,-0.21161415135382947,-0.7293328909591309,0.0
8e-11,-0.06531811285536115,-0.9300708667981982,0.0
8.1e-11,0.11384306870851635,-1.1021159527099003,0.0
8.2e-11,0.3203422340258756,-1.2401605470640158,0.0
8.3e-11,0.5478088456772501,-1.3399459700096557,0.0
8.4e-11,0.7892255203925569,-1.3983938438756107,0.0
8.5e-11,1.0371445165065585,-1.4137010610404734,0.0
8.6e-11,1.2839174979384107,-1.3853954095162384,0.0
8.7e-11,1.5219314864410753,-1.3143501402049704,0.0
8.799999999999999e-11,1.7438437229603443,-1.2027570264435739,0.0
8.9e-11,1.9428081926003133,-1.0540587469702227,0.0
9e-11,2.1126868248739403,-0.8728426783234209,0.0
9.1e-11,2.248238853689637,-0.6646993732078568,0.0
9.199999999999999e-11,2.345282495302516,-0.43605009080241053,0.0
9.3e-11,2.4008239564557035,-0.1939486997355151,0.0
9.4e-11,2.4131497928070798,0.05413593494254956,0.0
9.5e-11,2.3818797683869217,0.3005503673921031,0.0
9.6e-11,2.307978585381443,0.5376926808636494,0.0
9.7e-11,2.193726122393717,0.7582470078016363,0.0
9.8e-11,2.0426470993525014,0.955409225197202,0.0
9.9e-11,1.8594023389323378,1.1230968624624034,0.0
1e-10,1.6496449791000294,1.2561367461470463,0.0
1.01e-10,1.4198460726635846,1.3504245926432046,0.0
1.02e-10,1.1770949541128497,1.4030516254331267,0.0
1.0299999999999999e-10,0.9288805324712108,1.41239431073539,0.0
1.04e-10,0.6828602573102727,1.3781644432079976,0.0
1.05e-10,0.4466238853611867,1.3014180365741606,0.0
1.06e-10,0.22745933555566408,1.1845227449106694,0.0
1.0699999999999999e-10,0.03212785589838926,1.0310848196733378,0.0
1.08e-10,-0.1333445617016172,0.845837855861393,0.0
1.09e-10,-0.26385308376763705,0.6344967595318196,0.0
1.1e-10,-0.35537151965780694,0.403581441799154,0.0
1.1099999999999999e-10,-0.4050765296308271,0.16021567839626358,0.0
1.12e-10,-0.4114347247533946,-0.08809265998489504,0.0
1.13e-10,-0.3742499716210304,-0.333683226642214,0.0
1.14e-10,-0.29466944255177296,-0.5689795216223827,0.0
1.15e-10,-0.17514822462036322,-0.7867226276999344,0.0
1.16e-10,-0.01937357936580436,-0.9801951487919596,0.0
1.17e-10,0.16784881021326775,-1.1434284422831484,0.0
1.18e-10,0.3807430960647882,-1.2713867521237,0.0
1.19e-10,0.6127414511474147,-1.3601225621794282,0.0
1.2e-10,0.856686688077018,-1.4068983771747026,0.0
1.21e-10,1.105053059533792,-1.4102711742839649,0.0
1.22e-10,1.350178428701136,-1.370136920044475,0.0
1.23e-10,1.584500647243285,-1.2877337792540609,0.0
1.2399999999999999e-10,1.80079084852847,-1.1656039168758667,0.0
1.25e-10,1.9923764589724642,-1.007515071383283,0.0
1.26e-10,2.153347047577637,-0.8183443190340793,0.0
1.27e-10,2.2787366631893726,-0.6039276149765483,0.0
1.28e-10,2.3646770343512933,-0.37087975287820313,0.0
1.29e-10,2.408516905535672,-0.1263902973581137,0.0
1.3e-10,2.408903828224597,0.12199821525615878,0.0
1.3099999999999999e-10,2.3658258835917185,0.3666229653041453,0.0
1.32e-10,2.2806120496508013,0.5999372488293269,0.0
1.33e-10,2.1558912015614315,0.8147432943345766,0.0
1.34e-10,1.9955110099547364,1.004414314830332,0.0
1.35e-10,1.8044192392927836,1.1630989448452074,0.0
1.36e-10,1.5885111082381727,1.285901755497775,0.0
1.37e-10,1.3544474210002504,1.3690342787257572,0.0
1.38e-10,1.1094490803416468,1.409931881567506,0.0
